SMT Query ID,Position,Function,VC Details,Validity,Solver,Solving Time (sec)
5879,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:516:15:,apply,precond. (call lemmaKeyInListMapThenSameValueInArray... (require 5/11)),valid,z3,0.2
5880,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:516:15:,apply,precond. (call lemmaKeyInListMapThenSameValueInArray... (require 6/11)),valid,z3,0.2
5881,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:516:15:,apply,precond. (call lemmaKeyInListMapThenSameValueInArray... (require 7/11)),valid,z3,0.2
5882,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:516:15:,apply,precond. (call lemmaKeyInListMapThenSameValueInArray... (require 8/11)),valid,z3,0.2
5883,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:516:15:,apply,precond. (call lemmaKeyInListMapThenSameValueInArray... (require 9/11)),valid,z3,0.2
5930,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:528:13:,apply,postcondition,valid,z3,0.4
5929,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:528:21:,apply,array index within bounds,valid,z3,0.3
5931,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:530:21:,apply,postcondition,valid,z3,0.2
5846,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:535:17:,apply,"precond. (call contains[V](thiss, key))",valid,z3,0.1
5889,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:535:17:,apply,"precond. (call contains[V](thiss, key))",valid,z3,0.1
5886,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:535:17:,apply,"precond. (call contains[V](thiss, key))",valid,z3,0.1
5843,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:535:17:,apply,"precond. (call contains[V](thiss, key))",valid,z3,0.1
5840,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:535:17:,apply,"precond. (call contains[V](thiss, key))",valid,z3,0.1
5842,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:535:39:,apply,precond. (call get[V]({   val thiss: ListLongMap[V] ...),valid,z3,0.4
5848,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:535:39:,apply,precond. (call get[V]({   val thiss: ListLongMap[V] ...),valid,z3,0.2
5888,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:535:39:,apply,precond. (call get[V]({   val thiss: ListLongMap[V] ...),valid,z3,0.4
5845,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:535:39:,apply,precond. (call get[V]({   val thiss: ListLongMap[V] ...),valid,z3,0.3
5891,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:535:39:,apply,precond. (call get[V]({   val thiss: ListLongMap[V] ...),valid,z3,0.2
5887,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:535:39:,apply,precond. (call map[V](thiss)),valid,z3,0.2
5844,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:535:39:,apply,precond. (call map[V](thiss)),valid,z3,0.1
5890,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:535:39:,apply,precond. (call map[V](thiss)),valid,z3,0.1
5847,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:535:39:,apply,precond. (call map[V](thiss)),valid,z3,0.1
5841,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:535:39:,apply,precond. (call map[V](thiss)),valid,z3,0.1
289,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:931:15:,applyForall,non-negative measure,valid,z3,0.1
284,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:933:24:,applyForall,"precond. (call head[(Long, B)](lm.toList))",valid,z3,0.1
290,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:934:7:,applyForall,body assertion: Inlined precondition of applyForall,valid,z3,0.1
291,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:934:7:,applyForall,measure decreases,valid,z3,0.2
292,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:934:7:,applyForall,postcondition,valid,z3,0.2
